"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",0,0,0,0.0206267160272659,0,0,0,0,0,0,9.30756721325303e-05,0.0536724490897583,0,3.89542239577331,0,0,0,0,0,0.0300713081729204,0,0.00249904560870676,8.94657816270793,0,0.287168177673344,0,83.015182008135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205647507216697,0,0,0,0,0,0,0,0.000630714411311989,0,0,0,0,0,3.41755731693483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244770068798072,0,0,0,0,0,0,0,0,0,0,0,0.0651611923068293,0,0,2.61796694990432e-06,0,0,0,0,0
"2",0,0,0,0,0,0,42.1693324495831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000218110409702015,0,0,1.82585452341208,0,0,0.00222287695366956,0,0,0,1.68962822344047,0,0,0,0,0,0.0356196939894192,0.166987376472808,0,0,0,0,0.0330382359815448,0,0,0,0,0,0.0295728467471977,0.000159153711036771,0,0,0,0,1.14695314196356e-07,0,0,0,0,0,0,0,0,0,0,0,0,0.997528196830364,43.6759440444752,0,0,0,0,0,0,0,0,9.37339182707402,0,0.000502326224101313,0,0,0,0,0,0,0,0,0,0
"3",0,0.000453069606969794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286452699978698,0,0,0,53.4954625554801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.878983046081964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.5964560588331,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016449789797028,0,0,0,0.00453929982971436,0,0,0,0,9.08132575965644,0,0,0,0,0,0,75.2763659275671,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241740250121603,0,0,0,0,0,0,0.0642962514692587,0.0245978666689185,0,0,0,0,0,0,0,0,0.0129749948769162,0,0,0,0,0,0,0,0,0,1.17723499984636,0,0,0,0,0,0,0,14.3338451384511,0,0,0,0,0,0,0,0,2.64896694028498e-08,0.000481212234378726,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43457538789771e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0788551189168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168325934982903,0,0,0,0,0,0.443308681769094,0,0,0.0762151327266002,0,0,5.74804154219245e-05,0,0,0,0,57.3849330902754,0,0,0,0,0,7.28172838996414e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8483045600422,0,0,0
"6",0.552785909802118,4.38730834387448e-10,0,0,0,0,2.38869875493407,0,0,0,0,0,86.9290275201513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63624025933472e-06,0,0,4.77027439885326,0,0,1.55104071126523e-08,0,0.000254277363542395,0,0,0,0,0,0,0,2.42359855463229e-19,7.29188917024042e-06,0,0,0,0,0.00237821316781964,0,0,0,0,0,0,2.43887656148174,0,0,0,0.000371727149589103,2.42864076522831e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.367378221985711,0,0,0,0,0,0,0,0,0,2.54990474969089,0,6.24452368818211e-06,0,0,0,0,0,0,7.19041008102932e-06,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0698710336146896,0,0,0,0,0.356607101757653,0,0,0,0,20.9453027628966,0,0,0,0,0,2.34177054755636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41602364851115,0,0,0,0,0,0,0,0,0,0,26.3258641224628,0,0,0,0,0,7.71205898456425e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9447722859713,0,0,0,0,0,0,0,0,0,8.38782937189542,0,0,0,0.211959048213449,0,0
"8",0.00102895586482843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063378598445121,0,0,0.216676903920846,0,0,0,0,0,0,0,0,18.7961829295417,0,0,0,0,0,0,0.516722675799018,0.323113694533424,0,0,0,0,0,0,0,0,0,0,0,25.5763825291058,0,2.96574405649311e-10,0,0,0.111498257069417,3.45742626234886,0.137946736299722,0,0,0,0,0,0,0,0,0,0,0,0,0,43.1978173831947,0,0,0,0,0,0,0,0,0,0,0,0,7.59815591099992,0,0,0,0,0,0.00366916258004127,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0.214271111839476,0,0,0,0,0,97.0823871277846,0,0,0,0,0,4.62233233188374e-07,0,0.00840452326376937,0.715861145503611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00122987336087736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91993535018593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0579104058284975,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0.829288172415664,0,1.77848530651452e-05,0,0,0,0.00370445144513986,0,0,9.35015879929752e-06,0,0,10.9705959976748,0,0,0,0.0154028467199769,0,10.2028980565384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.2536325013572,0,0,0,0,2.57882728116011,8.15139145260919,0,0,0.274701933912676,0,0,0,0,0,0,0,0,0,0,0,0,0.000106776178408529,0.148742197198007,0,0,0,0,0,0,0,0,0,0.00382690482659207,11.5664473445959,0,0,0,0,0,0.000406948356018964,0,0,0,0,0,0,0,0
