"ALTITUDE" "DRAINAGE" "RADIATION" "SLOPE"
"A01" 1060 1 14.8 3
"A02" 1070 5 14.4 8
"A03" 1080 5 14.4 8
"A04" 1100 5 13.9 13
"A05" 1120 5 15.1 0
"A06" 1110 5 14.4 8
"A07" 1110 3 15.1 0
"A08" 1120 5 14.2 8
"A09" 1120 1 14.8 3
"A10" 1130 4 14.9 3
"A12" 1130 2 14.8 3
"A13" 1140 4 14.8 3
"A14" 1140 4 15.1 0
"A15" 1140 1 15.1 0
"A16" 1140 1 15.3 3
"A17" 1150 5 15.4 3
"A18" 1160 3 15.6 8
"A19" 1165 5 15.8 8
"A20" 1170 3 15.4 3
"A21" 1175 5 15.1 0
"A22" 1180 5 15.8 8
"A23" 1185 3 15.3 3
"A24" 1195 5 15.3 3
"B01" 1120 5 14.9 3
"B02" 1120 2 15.1 0
"B03" 1110 1 15.1 0
"B04" 1110 1 15.1 0
"B05" 1110 3 14.4 8
"B07" 1140 5 14.9 3
"B08" 1140 5 15.1 0
"B09" 1140 3 15.1 0
"B10" 1140 3 14.5 8
"B11" 1135 3 14.8 3
"B12" 1135 1 15.1 3
"B13" 1130 2 15.1 3
"B14" 1125 1 15.1 3
"B15" 1120 1 15.3 3
"B16" 1115 1 15.3 3
"B17" 1110 1 15.6 8
"B18" 1100 3 15.3 3
"B19" 1090 3 15.6 8
"B20" 1080 3 15.5 8
"B21" 1065 5 15.7 8
"B22" 1050 5 15.7 8
"B23" 1065 5 15.7 8
"B24" 1080 5 15.5 8
"B25" 1100 5 14.7 18
"B26" 1130 5 15 3
"B27" 1160 5 15.5 8
"B28" 1190 5 15.1 3
"B29" 1225 3 15 3
"B31" 1250 5 14.9 3
"B32" 1270 5 14.7 3
"B33" 1280 3 15.1 3
"B34" 1290 5 15.1 3
"B35" 1275 3 15.1 3
"B36" 1275 4 15.4 3
"B37" 1270 5 15.1 8
"H01" 1220 5 14.9 3
"H02" 1245 3 15 3
"H03" 1260 2 14.6 3
"H04" 1285 5 15.9 18
"H05" 1300 5 15.1 3
"H06" 1280 3 15.3 3
"H07" 1275 4 15.3 3
