"","orig","elevation","aspect","slope","av","swb","sprppt","sumppt","autppt","winppt","sprtmp","sumtmp","auttmp","wintmp","sprpet","sumpet","autpet","winpet","sprrad","sumrad","autrad","avetmp","ffd","dday","tcol"
"shosh...1","2V95D065",7760,346,57,0.86,-58,43.86,30.33,19.58,17.63,3.83,9.51,-0.91,-4.23,45.05,76.42,4.44,0,15808.48,15109.47,2681.89,2.65,208,1766,-7.6
"shosh...2","1V96M020",8000,234,19,0.04,-186,51,33.52,33.07,36.82,3,8.59,-1.86,-4.99,49.91,96.44,10.62,0,21255.15,20716.27,8737.68,1.52,197,1547,-8.67
"shosh...3","2V95D038",8600,328,62,0.73,5,45.81,33.86,23.17,21.94,2.8,8.47,-1.72,-4.6,41.4,76.91,5.27,0,17417.83,16746.63,3920.03,1.57,193,1489,-7.7
"shosh...4","4V95G035",7810,13,44,0.98,81,48.08,37.55,43.85,46.05,3.77,9.46,-1.55,-5.08,50.85,89.83,7.54,0,18480.67,17860.05,4498.3,2.15,206,1762,-9.3
"shosh...5","2V95D050",9280,46,73,0.98,133,49.9,37.38,27.95,27.02,1.98,7.67,-2.27,-4.9,31.7,72.21,5.13,0,17660.79,17023.71,4192.4,0.71,182,1292,-7.8
"shosh...6","5V96I233",9010,56,26,0.95,-175,45.64,32.19,56.76,64.95,1.12,7.08,-3.73,-7.13,32.86,82.01,7.44,0,21219.23,20670.16,8311.58,-0.8,171,1155,-11.8
"shosh...7","2V96I599",9360,318,46,0.65,185,48.36,36.86,30.87,30.87,1.64,7.34,-2.68,-5.29,29.28,67.05,4.34,0,17049.43,16467.04,4487.73,0.28,176,1215,-8.48
"shosh...8","1V891011",8380,16,27,0.99,-147,56.03,38.23,39.6,45.33,2.4,7.92,-2.41,-5.42,37.99,83.76,7.3,0,19779.8,19168.35,6233.66,0.75,188,1388,-9.35
"shosh...9","2V96M072",7440,40,15,0.99,-227,42.8,29.64,18.03,15.65,4.15,9.83,-0.69,-4.06,55.97,97.6,9.36,0,19475.23,18933.74,6747.29,3.07,212,1851,-7.5
"shosh..10","1V96M065",8000,310,2,0.59,-184,44.31,30.65,28.67,29.74,4.03,9.67,-1.13,-4.67,58.64,102.9,10.7,0,20654.71,20074.11,6714.22,2.6,209,1828,-8.6
"shosh..11","1V891041",7480,60,8,0.93,-80,50.22,37.05,40.5,45.62,3.06,8.62,-1.76,-5.19,50.53,93.28,9.53,0,20657.9,20085.36,7465.36,1.5,198,1569,-8.93
