"","sample","date","Depth","age","SampleType","PlatformID","LatStart","LonStart"
"1","Biodiv offshore hardsub K9-A all depths SP0214",2014-08-27,5,17,"foundation","K9-A",53.5202416699999,3.99246111099999
"2","Biodiv offshore hardsub L10-AD all depths SP0706",2015-10-09,5,43,"foundation","L10-AD",53.40333889,4.200880556
"3","Biodiv offshore hardsub L10-AD all depths SP0708",2015-10-09,20,43,"foundation","L10-AD",53.40333889,4.200880556
"4","Biodiv offshore hardsub L15-A all depths SP0126",2014-06-07,15,22,"foundation","L15-A",53.3295409999999,4.830158
"5","Biodiv offshore hardsub K9-A all depths SP0210",2014-08-27,10,17,"foundation","K9-A",53.5202416699999,3.99246111099999
"6","Biodiv offshore hardsub D15-A all depths SP0407",2015-10-04,0,16,"foundation","D15-A",54.32474444,2.934611111
"7","Biodiv offshore hardsub D15-A all depths SP0383",2015-10-03,5,16,"foundation","D15-A",54.32474444,2.934611111
"8","Biodiv offshore hardsub D15-A all depths SP0385",2015-10-03,5,16,"foundation","D15-A",54.32474444,2.934611111
"9","Biodiv offshore hardsub D15-A all depths SP0389",2015-10-03,10,16,"foundation","D15-A",54.32474444,2.934611111
"10","Biodiv offshore hardsub D15-A all depths SP0390",2015-10-03,10,16,"foundation","D15-A",54.32474444,2.934611111
"11","Biodiv offshore hardsub D15-A all depths SP0393",2015-10-03,15,16,"foundation","D15-A",54.32474444,2.934611111
"12","Biodiv offshore hardsub D15-A all depths SP0399",2015-10-04,20,16,"foundation","D15-A",54.32474444,2.934611111
"13","Biodiv offshore hardsub D15-A all depths SP0400",2015-10-04,20,16,"foundation","D15-A",54.32474444,2.934611111
"14","Biodiv offshore hardsub D15-A all depths SP0401",2015-10-04,20,16,"foundation","D15-A",54.32474444,2.934611111
"15","Biodiv offshore hardsub D15-A all depths SP0403",2015-10-04,30,16,"foundation","D15-A",54.32474444,2.934611111
"16","Biodiv offshore hardsub L10-AD all depths SP0704",2015-10-09,26,43,"scour protection layer","L10-AD",53.40333889,4.200880556
"17","Biodiv offshore hardsub L10-AD all depths SP0705",2015-10-09,26,43,"scour protection layer","L10-AD",53.40333889,4.200880556
"18","Biodiv offshore hardsub L10-AP all depths SP0378",2015-10-12,5,40,"foundation","L10-AP",53.2498,4.12483999999999
"19","Biodiv offshore hardsub L10-AP all depths SP0375",2015-10-12,10,40,"foundation","L10-AP",53.2498,4.12483999999999
"20","Biodiv offshore hardsub L10-AR all depths SP0088",2014-04-27,14,39,"foundation","L10-AR",53.2474899999999,4.12692999999999
"21","Biodiv offshore hardsub L10-G all depths SP0176",2014-06-08,11,30,"foundation","L10-G",53.292538,4.114281
"22","Biodiv offshore hardsub L10-G all depths SP0143",2014-06-08,15,30,"foundation","L10-G",53.292538,4.114281
"23","Biodiv offshore hardsub L10-G all depths SP0181",2014-06-09,25,30,"foundation","L10-G",53.292538,4.114281
"24","Biodiv offshore hardsub L15-A all depths SP0120",2014-06-07,6,22,"foundation","L15-A",53.3295409999999,4.830158
"25","Biodiv offshore hardsub L15-A all depths SP0118",2014-06-07,7,22,"foundation","L15-A",53.3295409999999,4.830158
"26","Biodiv offshore hardsub L15-A all depths SP0119",2014-06-07,7,22,"foundation","L15-A",53.3295409999999,4.830158
"27","Biodiv offshore hardsub L15-A all depths SP0130",2014-06-07,10,22,"foundation","L15-A",53.3295409999999,4.830158
"28","Biodiv offshore hardsub L15-A all depths SP0131",2014-06-07,11,22,"foundation","L15-A",53.3295409999999,4.830158
"29","Biodiv offshore hardsub L15-A all depths SP0132",2014-06-07,11,22,"foundation","L15-A",53.3295409999999,4.830158
"30","Biodiv offshore hardsub L15-A all depths SP0133",2014-06-07,11,22,"foundation","L15-A",53.3295409999999,4.830158
"31","Biodiv offshore hardsub L15-A all depths SP0127",2014-06-07,15,22,"foundation","L15-A",53.3295409999999,4.830158
"32","Biodiv offshore hardsub L15-A all depths SP0128",2014-06-07,15,22,"foundation","L15-A",53.3295409999999,4.830158
"33","Biodiv offshore hardsub L15-A all depths SP0129",2014-06-07,15,22,"foundation","L15-A",53.3295409999999,4.830158
"34","Biodiv offshore hardsub L15-A all depths SP0122",2014-06-07,20,22,"foundation","L15-A",53.3295409999999,4.830158
"35","Biodiv offshore hardsub L15-A all depths SP0123",2014-06-07,20,22,"foundation","L15-A",53.3295409999999,4.830158
"36","Biodiv offshore hardsub L15-A all depths SP0124",2014-06-07,20,22,"foundation","L15-A",53.3295409999999,4.830158
"37","Biodiv offshore hardsub L15-A all depths SP0125",2014-06-07,20,22,"foundation","L15-A",53.3295409999999,4.830158
"38","Biodiv offshore hardsub L15-A all depths SP0137",2014-06-07,22,22,"scour protection layer","L15-A",53.3295409999999,4.830158
"39","Biodiv offshore hardsub K9-A all depths SP0192",2014-08-27,0,17,"foundation","K9-A",53.5202416699999,3.99246111099999
"40","Biodiv offshore hardsub K9-A all depths SP0193",2014-08-27,0,17,"foundation","K9-A",53.5202416699999,3.99246111099999
"41","Biodiv offshore hardsub K9-A all depths SP0209",2014-08-27,10,17,"foundation","K9-A",53.5202416699999,3.99246111099999
"42","Biodiv offshore hardsub K9-A all depths SP0206",2014-08-27,15,17,"foundation","K9-A",53.5202416699999,3.99246111099999
"43","Biodiv offshore hardsub K9-A all depths SP0217",2014-08-29,30,17,"foundation","K9-A",53.5202416699999,3.99246111099999
"44","Biodiv offshore hardsub K9-A all depths SP0221",2014-08-29,32,17,"scour protection layer","K9-A",53.5202416699999,3.99246111099999
