"","Ciliophora","Gastropoda","Bivalvia","Naticidae","Neogastropoda","Pyramidellidae","Onchidorididae","Aeolidiidae","Nuculidae","Mytilidae","Pectinidae","Anomiidae","Venerida","Montacutinae","Tellinidae","Veneridae","Porifera","Platyhelminthes","Nematoda","Chlorophyta","Phaeophyceae","Rhodophyta","Annelida","Polychaeta","Terebellida","Capitellidae","Arenicolidae","Maldanidae","Aphroditiformia","Phyllodocidae","Polynoidae","Syllidae","Lumbrineridae","Pectinariidae","Terebellidae","Serpulidae","Crustacea","Copepoda","Cirripedia","Decapoda","Tanaidacea","Amphipoda","Cnidaria","Anthozoa","Insecta","Hydrozoa","Actiniaria","Bougainvilliidae","Corymorphidae","Tubulariidae","Campanulariidae","Nudibranchia","Ascidiacea","Golfingiidae","Anthoathecata","Leptothecata","Tellinoidea","Filifera","Nereididae","Sagartiidae","Diadumene","Urticina.felina","Diadumene.cincta","Metridium.senile","Actinothoe.sphyrodeta","Corynactis.viridis","Priapulida","Caprellidae","Aoridae","Corophiidae","Ischyroceridae","Lysianassidae","Melitidae","Stenothoidae","Caprella","Jassa","Metopa","Caprella.linearis","Pariambus.typicus","Phtisica.marina","Gitana.sarsi","Aora.gracilis","Argissa.hamatipes","Iphimedia.minuta","Gammaropsis.nitida","Microprotopus.maculatus","Jassa.herdmani","Jassa.marmorata","Tryphosa.nana","Abludomelita.obtusata","Metopa.borealis","Metopa.bruzelii","Metopa.pusilla","Stenothoe.marina","Stenothoe.monoculoides","Stenothoe.tergestina","Stenothoe.valida","Hyperia.galba","Diplosoma.listerianum","Sessilia","Balanidae","Semibalanus.balanoides","Balanus.balanus","Balanus.crenatus","Verruca.stroemia","Brachyura","Caridea","Galatheoidea","Cancroidea","Majoidea","Paguridae","Portunidae","Cancer","Liocarcinus","Galathea.intermedia","Pisidia.longicornis","Cancer.pagurus","Polybius.depurator","Pilumnus.hirtellus","Pilumnus.spinifer","Pinnotheres.pisum","Pseudocuma","Pseudocuma..Pseudocuma..longicorne","Ctenostomatida","Bugulidae","Aetea","Cribrilina","Alcyonidium","Amathia","Aetea.anguina","Bicellariella.ciliata","Callopora.dumerilii","Scrupocellaria.scruposa","Cribrilina.punctata","Aspidelectra.melolontha","Conopeum.reticulum","Electra.pilosa","Celleporella.hyalina","Microporella.ciliata","Escharella.immersa","Scruparia.ambigua","Scruparia.chelata","Alcyonidium.mamillatum","Alcyonidium.parasiticum","Arachnidium.fibrosum","Buskia.nitens","Clytia","Obelia","Corymorpha","Eudendrium","Hydractinia","Sertularia","Ectopleura","Clytia.gracilis","Clytia.hemisphaerica","Gonothyraea.loveni","Hartlaubella.gelatinosa","Laomedea.calceolifera","Laomedea.flexuosa","Laomedea.neglecta","Obelia.bidentata","Obelia.dichotoma","Obelia.longissima","Calycella.syringa","Coryne.pusilla","Hydractinia.echinata","Telmatogeton.japonicus","Idoteidae","Idotea","Idotea.pelagica","Asteroidea","Echinoidea","Ophiuroidea","Amphiuridae","Ophiothrix","Asterias.rubens","Crossaster.papposus","Psammechinus.miliaris","Amphipholis.squamata","Ophiothrix.fragilis","Alcyonium.digitatum","Capitella","Ophryotrocha","Glycera","Lumbrineris","Nereis","Eulalia","Eumida","Phyllodoce","Harmothoe","Sabellaria","Hydroides","Spirobranchus","Sthenelais","Myrianida","Procerastea","Syllis","Notomastus.latericeus","Cirratulus.cirratus","Nereimyra.punctata","Syllidia.armata","Eunereis.longissima","Nereis.pelagica","Nothria.conchylega","Pholoe.inornata","Eulalia.viridis","Eumida.sanguinea","Phyllodoce.longipes","Harmothoe.antilopes","Harmothoe.aspera","Harmothoe.clavigera","Harmothoe.extenuata","Harmothoe.impar","Harmothoe.viridis","Lepidonotus.squamatus","Subadyte.pellucida","Sabellaria.spinulosa","Hydroides.norvegica","Sthenelais.boa","Dipolydora.coeca","Polydora.ciliata","Eusyllis.blomstrandi","Proceraea.cornuta","Procerastea.halleziana","Sphaerosyllis.hystrix","Syllis.amica","Syllis.armillaris","Syllis.gracilis","Syllis.hyalina","Syllis.vittata","Syllis.vivipara","Lanice.conchilega","Thelepus.cincinnatus","Leucosoleniidae","Leucosolenia.botryoides","Leucosolenia.variabilis","Sycon.ciliatum","Golfingia","Pseudoparatanais.batei","Eubranchus","Mytilus","Euspira","Philine","Odostomia","Abra","Cuthona","Tritonia","Aeolidia.papillosa","Heteranomia.squamula","Arctica.islandica","Dendronotus.frondosus","Epitonium.clathratulum","Eubranchus.exiguus","Hiatella.arctica","Hyala.vitrea","Kellia.suborbicularis","Lepton.squamosum","Sphenia.binghami","Modiolula.phaseolina","Musculus.discors","Mytilus.edulis","Acanthodoris.pilosa","Onoba.semicostata","Pusillina.inconspicua","Abra.alba","Catriona.gymnota","Tergipes.tergipes","Tunicata","Caprella.mutica","Fabulina.fabula","Carcininae","Monocorophium.insidiosum","Monocorophium.sextonae","Mysida","Onchidoris.bilamellata","Euspira.nitida","Eteoninae","Eusyllinae","Psamathe.fusca","Nemertea","Alcyonidium.condylocinereum","Polynoinae","Eualus.cranchii","Ectopleura.larynx","Halichondria..Halichondria..panicea","Mycale..Carmia..macilenta","Monocorophium.acherusicum","Mimachlamys.varia","Crassicorophium.bonellii","Myrianida.prolifera","Nereidinae","Phyllodoce.maculata","Phyllodoce.mucosa","Kurtiella.bidentata","Varicorbula.gibba","Buccinoidea","Opisthobranchia","Diadumene.lineata","Crassicorophium.crassicorne","Tritonia.hombergii","Alcyonidioides.mytili","Nototropis.swammerdamei","Brachystomia","Brachystomia.scalaris","Brachystomia.eulimoides","Musculus.subpictus","Carinacea","Diadematoida","Spirobranchus.triqueter","Spirobranchus.lamarcki","Harmothoe.fernandi","Bugulina.turbinata","Crisularia.plumosa","Magallana.gigas","Schizomavella..Schizomavella..linearis","Stenula.solsbergi","Cylista.elegans"
"1",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"2",0,38,0,1,0,0,0,0,0,12,0,5,0,0,0,0,0,0,1,0,0,0,18,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,233,0,0,0,0,63,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,228,4,0,0,0,0,0,4,533,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,217,0,0,0,0,0,0,0,334,0,5,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,71,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,6,0,0,1,0,0,0,0,0,0,3,0,0,1,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,72,0,6,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,295,0,0,1,0,0,1,0,1,0,8,0,0,0,0
"3",0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,19,0,0,110,0,0,0,0,0,0,14,0,205,0,0,0,0,0,0,51,0,0,0,0,0,0,0,21,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"4",0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6",0,30,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,421,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,4,2,0,0,0,0,0,0,19,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,87,0,0,0,0,0,0,0,0,0,103,0,191,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,2,0,0,101,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,13,124,0,0,0,25,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,42,0,0,0,1,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
"8",0,19,0,0,0,0,0,0,0,25,0,18,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,103,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,1,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,14,0,0,0,0,0,0,565,0,8,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,1,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,0,0,4,0,1,0,0,0,0,2,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,63
"9",0,3,0,0,0,0,1,0,0,51,0,196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,4,0,0,0,7,0,63,408,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,322,0,0,0,0,0,0,0,135,0,12,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,26,0,0,0,0,126,0,74,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0
"10",0,11,30,1,0,0,0,2,0,51,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,1,0,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,41,692,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,702,0,0,0,0,0,0,0,196,0,8,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,96,0,29,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0
