"","A.edu","B.sal","C.ang","C.aur","C.ver","E.uni","H.pop","J.aus","L.luc","M.alb","M.lae","O.por","P.exc","P.ame","P.tuc","P.zap","T.sta","T.tri","T.tip","U.car"
"guaran_a1",0.040516,0,0.060386,0,0.014052,0,0,0.058915,0.322561,0,0.04245,0.039272,0,0,0,0,0.184608,0.070332,0,0
"guaran_a2",0.109674,0,0,0,0.016856,0,0.166263,0,0.064523,0.241471,0.109044,0.122158,0,0,0,0,0.114162,0,0,0
"guaran_a3",0.039678,0,0,0,0.045535,0,0,0,0.008675,0.068897,0.145177,0.094642,0,0,0.008675,0,0.06528,0.049088,0,0
"guaran_a4",0,0,0,0,0.010324,0,0.228829,0.048257,0,0.024981,0.138797,0.177612,0,0,0,0,0.187512,0,0,0
"guaran_a5",0.035577,0.02154,0.290674,0,0.057946,0,0,0,0,0,0.171146,0,0,0,0,0,0.210922,0.019126,0,0
"guaran_a6",0.054425,0.058756,0.155591,0,0.010905,0,0,0,0.147185,0.019518,0.078073,0,0,0,0.011503,0,0.055251,0.02154,0,0
"guaran_a7",0.078689,0.053411,0,0,0,0,0,0.092802,0.131534,0,0.048464,0.014052,0,0,0.025339,0,0.074212,0,0,0
"guaran_a8",0.023661,0,0.047229,0,0.034699,0,0,0.203497,0.075072,0,0.041582,0,0.15613,0,0.061668,0,0,0,0.392588,0
"guaran_b1",0.034731,0,0.044808,0,0.138952,0,0,0,0.094642,0.039033,0.090821,0.189464,0,0,0,0,0.101923,0,0,0
"guaran_b2",0.014052,0,0,0,0.027261,0,0,0,0.149511,0,0.031616,0.034175,0,0,0,0,0.05601,0.052264,0,0
"guaran_b3",0.050886,0,0,0,0.031117,0,0,0.033656,0,0.078073,0.049715,0.056311,0.344077,0,0.009758,0,0.218567,0,0,0
"guaran_b4",0.052575,0,0.033466,0,0.10726,0,0,0.054717,0.099924,0.024981,0.26386,0.159438,0.074951,0,0,0,0.076878,0,0,0
"guaran_b5",0,0,0,0,0.039481,0,0,0.024097,0.405589,0.093979,0,0.108256,0,0,0,0,0.041502,0,0,0.007904
"guaran_b6",0.020315,0,0,0,0.010905,0,0,0,0.094642,0.121324,0,0.166767,0,0,0.065965,0,0.099322,0,0,0
"guaran_b7",0.044573,0,0.123518,0,0.057635,0,0,0.032628,0,0,0.174484,0,0,0,0.013719,0,0.124659,0,0,0
"guaran_b8",0.027678,0,0.171037,0,0.053582,0,0,0.086517,0.145177,0,0.092914,0.040156,0,0,0.010612,0,0.139243,0,0,0
"guaran_c1",0.009758,0,0.025881,0,0.067035,0,0,0,0.151701,0.047229,0,0.425244,0,0,0,0,0.078049,0,0,0
"guaran_c2",0,0,0.130512,0,0.105189,0,0,0,0.03212,0.033656,0,0.248705,0.058915,0,0,0,0.119179,0,0.191379,0
"guaran_c3",0.102046,0,0.099033,0,0.066664,0,0,0,0,0,0,0.063097,0,0,0.027179,0,0.131542,0.036294,0,0
"guaran_c4",0.011807,0,0.017597,0,0,0,0,0,0.121577,0.140908,0,0.158417,0,0,0,0,0.1594,0,0.23841,0
"guaran_c5",0.021788,0,0.086945,0,0.022376,0,0,0.162334,0.029641,0.041253,0,0.015422,0.087734,0,0,0,0.096063,0,0,0
"guaran_c6",0.010905,0,0.155798,0,0.038477,0,0,0.025429,0.08451,0.126466,0.109132,0.080973,0.022376,0,0,0,0.126059,0,0,0
