Species;SLA;LTS;LNC;PSI_L;WD;Hmax;RGR
A.edu;15.23;0.28;26.82;-2.46;0.71;8;0.012
B.sal;12.18;0.55;17.98;-2;0.77;30;0.012
C.ang;12.32;0.36;21.06;NA;0.41;30;0.019
C.aur;12.4;0.93;14;-1.31;0.71;7;0.004
C.ver;10.11;0.73;23.74;-1.68;0.68;9;0.009
E.uni;10.43;0.3;20.48;-1.7;0.87;7;0.010
H.pop;20.43;0.11;30.96;-0.51;0.28;12;0.018
J.aus;12.54;0.48;21.78;-1.49;0.49;20;0.015
L.luc;6.62;0.75;14.91;-0.75;0.63;20;0.045
M.alb;13.26;0.28;21.74;-1.15;0.59;14;0.007
M.lae;10.93;0.77;21.82;-1.37;0.56;15;0.015
O.por;9.59;0.78;28.46;-1.68;0.69;30;0.017
P.exc;9.71;0.86;28.7;-2.53;0.7;20;0.014
P.ame;17.22;0.49;19.5;-1.11;0.55;15;0.003
P.tuc;17.69;0.24;38.14;-1;0.36;30;0.017
P.zap;15.38;0.23;33.68;NA;0.46;15;0.018
T.sta;18.80;0.45;23.74;-1.52;0.46;7;0.003
T.tri;9.23;0.80;21.64;NA;0.77;20;0.010
T.tip;10.53;0.39;36.64;-0.13;0.61;25;0.006
U.car;12.96;0.12;25.14;-0.07;0.28;7;0.010
