Year,Temperature,Precipitation
1990,8.7,617.5
1991,7.6,641.8
1992,9.2,641.8
1993,8.4,678.3
1994,9.9,617.5
1995,8.6,842.5
1996,6.9,769.5
1997,8.3,647.9
1998,8.8,720.9
1999,8.9,714.8
2000,9.6,711.8
2001,8.5,836.5
2002,9.2,1009.8
2003,8.9,514
2004,8.5,727
2005,8.3,824.3
2006,8.7,687.4
2007,9.7,739.1
2008,9.3,720.9
2009,9.1,833.4
2010,7.9,836.5
2011,9.1,593.1
2012,9,730
2013,8.8,806
2014,10.1,781.7
2015,10.1,620.5
2016,9.4,727
2017,9.3,690.5
2018,10.3,635.7
2019,10.2,660
2020,9.8,778.7
2021,8.8,845.6
2022,10,909.5
2023,10.4,769.5
