releveID,Achimill,Achiptar,Agrocani,Agrotenu,Ajugrept,Alchvulg,Alopprat,Angesilv,Anthodor,Arrhelat,Avenpube,Betooffi,Betupend,Brizmed,Caluvulg,Cardprat,Careflav,Carehart,Carehirt,Carelepo,Carenigr,Carepale,Carepani,Carepilu,Carepuli,Carestel,Careumbr,Centjace,Ceravulg,Cirspalu,Cynocris,Dactglom,Dactmaja,Dantdecu,Desccesp,Dryodila,Epiladen,Epilpalu,Equiarve,EquiSylv,Festovin,Festprat,Festrubr,Galialbu,Galibore,Galipalu,Galiulig,Hierumbe,Holclana,Holcmoll,Hyporadi,Junceffu,Lathprat,Leonhisp,Lotucorn,Luzumult,Lychflos,Lysinumm,Lysivulg,Mentarve,Molicaer,Myosnemo,Nardstri,Pedisylv,Pimpmajo,Pinusylv,Planlanc,poa_prat,poa_triv,Poputrem,Poteerec,Prunvulg,Querrobu,Ranuacer,Ranuauri,Ranuflam,Ranunemo,Rumeacet,Saliauri,Sangoffi,Scirsylv,Scorhumi,Selicarv,Senerivu,Serrtinc,Stelgram,Succprat,Taraoffi,Trifdubi,Trifrepe,Urtidioi,Vaccmyrt,Valedioi,Verocham,Verooffi,Veroserp,Vicicrac
r1994p1,0,10,0,0,0,0,0,6,2,0,0,0,0,5,0,0,0,0,0,0,0,7,10,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,5,10,0,0,7,2,0,7,0.5,30,1,25,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
r1994p2,0,3,1,0,0,0,0,2,3,0,0,0,0,3,0,0,0,0,0,0,0,10,7,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,15,0,2,0,0,2,2,0,0,3,0,0,4,1,30,1,25,0,0,0,0,0,0,0,10,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
r1994p3,0,8,3,0,1,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,10,15,0,5,0,0,0,0,10,0,0,0,5,7,0,0,0,0,0,0,0,10,0,2,0,15,0,6,0,0,10,1,0,0,5,0,0,4,0.01,20,2,1,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r1994p4,0,10,2,0,2,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,3,5,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,5,0,0,2,2,0,0,2,0,0,0,2,20,2,15,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
r1994p5,0,7,0,0,0,0,0,2,3,0,0,0,0,5,0,0,0,0,0,3,0,5,5,0,0.5,3,0,3,0,5,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,3,0,3,0,0,3,2,0,0,2,2,0,3,0,40,0,10,0,0,0,2,0,0,0,2,3,0,0,0,0,0.5,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r1994p6,0,2,0,0,2,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,4,4,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,4,0,0,0,3,0,4,0,0,3,3,0,0,2,0,0,3,1,40,0,20,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r1994p7,0,2,0,0,2,0,0,2,7,0,0,0,0,5,0,0,0,0,0,0,0,4,6,2,1,0,0,0,0,2,0.5,0,0,4,0,0,0,0,1,0,0,2,3,0,0,0,3,0,4,0,0,2,0,0,0,2,2,0,3,2,25,2,17,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
r1994p8,0,1,1,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,4,2,8,8,0,0.5,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,2,7,0,0,0,10,0,2,0,0,4,0,1,0,2,1,0,4,2,20,2,15,0.5,0,0,1,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r1994p9,0,2,5,0,3,0,0,2,3,0,0,0,0,4,0,0,2,0,0,0,0,2,6,0,2,0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,2,0,5,0,0,3,0,1,0,2,0,0,5,0,35,1,10,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,3,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,1
r1994p10,0,1,4,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,2,0,4,1,1,0.2,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,5,0,3,0,1,0,3,0,0,2,0.5,0,0,2,0,0,3,0,35,1,10,0,0,0,0,0,0,0,4,1,0,0,0,0,0.5,2,0,12,1,0.5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1
