"","agon fuli","agon muel","amar aene","amar apri","amar auli","amar bifo","amar comm","amar eury","amar fami","amar luni","amar pleb","anch dors","asap flav","bemb aene","bemb brux","bemb gutt","bemb lamp","bemb mann","bemb obtu","bemb tetr","brad harp","brad rufi","cala fusc","cala mela","cala micr","cara arve","cara glab","cara gran","cara nemo","cara nite","cara prob","cara viol","cliv foss","cych cara","dysc glob","elap cupr","elap ulig","harp affi","harp latu","harp rufi","leis term","lori pili","nebr brev","nebr sali","noti aqua","noti bigu","noti germ","noti palu","noti subs","olis rotu","patr assi","patr atro","poec vers","pter adst","pter dili","pter madi","pter mela","pter nige","pter nigr","pter rhae","pter stre","pter vern","stom pumi","synu viva","trec micr","trec obtu","trec quad","trec rube"
"1",0,51,25,0,0,0,1,0,0,0,40,4,0,356,0,2,96,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,221,0,0,0,0,1,0,8,0,64,150,0,0,1,0,0,0,0,0,0,0,0,0,1,367,5,0,0,24,0,0,1,0,0,1,0
"2",0,59,2,0,0,0,2,0,0,0,4,0,0,626,0,9,148,0,0,1,0,0,0,32,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,3,0,28,6,0,1,4,0,0,2,0,0,0,0,0,0,1,398,12,0,0,49,0,0,1,1,0,19,0
"3",0,0,0,0,0,0,3,0,0,18,5,0,0,0,0,1,0,0,0,0,0,0,35,31,0,13,0,1,0,0,11,8,7,0,0,0,0,0,12,1,0,9,1,0,0,0,1,0,0,0,0,0,5,0,2,56,39,5,1,2,2,1,0,1,0,0,0,0
"4",0,1,1,0,0,0,1,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,106,28,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,4,0,0,1,0,0,0,0,0,0,1,0,0,8,61,4,0,0,0,1,0,0,0,0,0,0
"5",0,29,1,0,0,0,2,0,0,0,1,0,0,0,0,0,67,10,0,0,0,0,3,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0,7,19,0,0,0,0,0,0,0,0,0,11,0,2,0,5,27,13,5,2,16,0,0,0,0,0,0
"6",0,0,1,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,3,0,7,6,0,32,0,0,0,0,82,18,0,1,0,0,0,0,8,0,0,7,4,0,18,3,1,2,0,0,0,0,0,0,0,121,35,34,0,0,1,1,0,1,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,50,6,0,4,0,0,0,13,11,0,1,3,0,0,0,4,0,21,0,0,1,45,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,0,0
"8",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,23,0,5,0,0,0,3,3,0,1,0,0,0,0,0,0,10,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,96,19,5,8,0,0,0,56,1,2,0,0,0,0,0,2,0,3,0,0,15,13,3,1,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"10",0,27,1,0,0,0,0,0,1,0,5,0,0,16,0,39,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,99,21,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,0,1,0,3,0,1,25,0,2,0
"11",0,18,0,0,0,0,0,0,6,0,8,1,0,1,0,6,8,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,1,0,22,44,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,1,0,0,3,0,0,23,0,24,0
"12",0,44,0,0,1,0,0,0,0,0,4,28,0,0,48,47,6,0,0,82,0,0,0,445,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,42,40,0,0,0,0,0,0,0,0,0,2,0,0,1,526,3,0,0,1,2,0,2,2,0,122,0
"13",0,29,0,0,0,0,0,0,0,0,5,71,0,33,0,16,1,0,0,13,0,0,0,268,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,112,10,0,0,0,0,0,0,0,0,0,0,0,0,0,497,9,1,0,0,0,0,0,2,0,286,0
"14",0,50,7,0,0,0,0,0,8,0,50,3,0,9,0,11,1,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,72,9,0,0,3,0,0,1,0,0,0,0,0,0,0,42,8,0,0,0,0,0,0,18,0,12,0
"15",0,82,2,0,0,0,2,0,5,0,169,11,1,0,0,17,38,0,0,12,0,0,0,111,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,76,94,0,0,2,0,0,0,0,0,0,7,0,0,5,478,22,0,0,9,25,0,4,1,0,76,0
"16",0,57,0,0,0,0,0,0,0,0,1,1,0,0,29,76,113,0,0,141,0,0,0,61,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,1,0,16,47,1,0,3,0,0,0,1,0,0,1,0,0,2,549,2,0,0,1,1,0,11,1,0,215,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,53,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,15,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,256,1,0
"18",0,0,0,0,0,0,4,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,408,268,0,0,0,0,0,0,7,0,8,0,0,0,0,0,2,0,0,2,9,1,4,1,0,0,1,0,0,0,0,4,0,9,0,1,0,0,0,0,0,0,0,0,2,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,1,1,0,0,0,0,27,2,0
