Site	Season	Lakes	Group	WT	DO	PH	CON	CODMn	TP	TN	NH3-N	NO3-N	NO2-N	Chla	SS	WD
Sp-HB-1	Spring	HB	2	23.90	9.40	8.08	587.00	7.85	0.09	2.10	0.48	0.16	0.02	3.06	4.00	2.80
Sp-DL-1	Spring	DL	5	23.00	9.90	8.22	418.00	7.83	0.10	2.41	1.16	0.14	0.02	4.47	8.00	3.00
Sp-DL-2	Spring	DL	5	21.40	9.80	8.35	394.00	7.48	0.09	1.65	0.35	0.14	0.02	2.28	21.00	2.90
Sp-DL-3	Spring	DL	5	21.70	10.10	8.37	393.90	7.11	0.07	2.23	0.29	0.10	0.02	7.15	18.00	2.80
Sp-TL-1	Spring	TL	4	20.80	8.80	8.35	650.00	7.03	0.14	2.08	1.25	0.14	0.10	0.07	23.00	3.00
Sp-TL-2	Spring	TL	3	20.60	9.00	8.55	657.00	7.05	0.14	2.30	1.24	0.14	0.10	0.39	27.00	2.20
Sp-TL-3	Spring	TL	2	21.20	8.90	8.52	657.00	6.83	0.13	2.52	1.27	0.14	0.09	0.06	19.00	3.00
Sp-YC-1	Spring	YC	5	20.10	9.10	8.42	557.00	6.72	0.11	1.46	0.89	0.12	0.07	0.77	29.00	2.90
Sp-XH-1	Spring	XH	4	19.20	7.47	8.64	679.00	7.05	0.17	1.01	1.50	0.19	0.09	1.25	22.00	3.00
Sp-XH-2	Spring	XH	4	18.60	7.05	8.63	683.00	6.94	0.11	1.30	1.06	0.23	0.07	0.82	20.00	3.00
Sp-XH-3	Spring	XH	3	20.20	7.86	8.69	680.00	7.56	0.14	0.58	1.28	0.26	0.09	0.68	25.00	3.00
Sp-BQ-1	Spring	BQ	5	22.10	9.08	8.14	440.70	6.43	0.06	1.68	0.31	0.11	0.01	0.58	6.00	4.00
Sp-RB-2	Spring	RB	3	23.00	8.80	8.52	566.00	6.24	0.07	1.70	0.52	0.11	0.03	1.35	15.19	3.40
Sp-RB-3	Spring	RB	3	21.80	8.68	8.48	599.00	6.16	0.08	1.14	0.64	0.09	0.04	1.34	2.00	3.00
Sp-RB-4	Spring	RB	2	21.50	8.89	8.49	603.00	6.15	0.08	1.11	0.62	0.12	0.05	1.69	13.00	2.70
Sp-NS-1	Spring	NS	3	21.80	7.32	8.76	719.00	7.94	0.10	1.03	0.76	0.27	0.06	0.19	7.00	2.90
Sp-NS-2	Spring	NS	3	22.50	7.54	8.75	721.00	8.00	0.10	0.99	0.73	0.23	0.06	0.81	12.00	2.80
Sp-HS-1	Spring	HS	3	21.30	8.79	8.58	577.00	6.13	0.12	1.08	0.68	0.09	0.04	0.58	14.00	3.30
Sp-HS-2	Spring	HS	3	20.90	8.72	8.52	582.00	6.35	0.09	1.19	0.68	0.14	0.05	0.94	24.00	3.60
Sp-HS-3	Spring	HS	3	20.80	8.84	8.56	583.00	6.08	0.10	1.70	0.73	0.10	0.06	0.94	13.00	2.80
Sp-TH-1	Spring	TH	2	21.90	8.84	8.56	582.00	5.97	0.11	2.26	0.79	0.15	0.05	1.00	17.00	3.00
Sp-TH-2	Spring	TH	3	21.30	9.26	8.53	583.00	6.90	0.06	1.70	0.62	0.11	0.04	1.16	5.00	3.20
Su-HB-1	Summer	HB	2	22.00	7.59	7.84	654.00	10.00	0.10	1.48	1.50	0.17	0.14	16.31	11.00	2.80
Su-DL-1	Summer	DL	4	24.00	9.80	8.25	514.00	14.57	0.11	2.54	0.82	0.10	0.05	16.91	7.00	3.00
Su-DL-2	Summer	DL	5	23.10	10.10	8.50	588.00	11.41	0.13	1.89	1.07	0.10	0.08	21.06	13.00	2.90
Su-DL-3	Summer	DL	5	25.00	9.90	8.57	492.50	14.10	0.12	2.05	1.14	0.12	0.08	25.28	12.00	2.80
Su-TL-1	Summer	TL	5	22.80	10.40	8.75	597.00	7.10	0.12	1.23	1.17	0.09	0.10	13.38	7.00	3.00
Su-TL-2	Summer	TL	3	23.50	10.90	8.73	611.00	7.76	0.17	1.67	0.97	0.06	0.08	17.32	15.00	2.20
Su-TL-3	Summer	TL	3	23.50	10.30	8.92	614.00	6.74	0.14	1.80	0.88	0.05	0.08	18.72	17.00	3.00
Su-YC-1	Summer	YC	5	22.70	9.60	8.74	554.00	7.22	0.09	1.50	1.33	0.12	0.12	26.60	13.00	2.90
Su-XH-1	Summer	XH	3	21.40	7.26	8.85	651.00	6.27	0.14	1.07	1.61	0.07	0.11	13.64	16.00	3.00
Su-XH-2	Summer	XH	4	21.60	7.09	8.90	658.00	5.70	0.19	1.40	1.40	0.05	0.11	15.52	14.00	3.00
Su-XH-3	Summer	XH	4	21.50	7.73	8.92	663.00	5.59	0.16	1.63	1.29	0.07	0.09	16.85	20.00	3.00
